region,district,code,name,type,type_category,ownership_category,ownership_authority,status
Mbeya,Mbarali Dc,121452-7,MUWALE,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Mbeya,Mbarali Dc,121451-9,MAHONGOLE,Health Center,Kituo cha Afya,Public,LGA,Operating
Coast,Mkuranga Dc,121450-1,SHUNGUBWENI-MSORWA,Health Center,Kituo cha Afya,Public,LGA,Operating
Coast,Mkuranga Dc,121449-3,KIPARANG&#039;ANDA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Coast,Mkuranga Dc,121448-5,TENGELEA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Coast,Mkuranga Dc,121447-7,KIBAMBA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Coast,Mkuranga Dc,121446-9,SUNGUVUNI,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Coast,Mkuranga Dc,121445-1,NGANJE,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Coast,Mkuranga Dc,121444-4,KIFUMANGAO,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Coast,Mkuranga Dc,121443-6,KWALE,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Coast,Mkuranga Dc,121442-8,KISEGESE,Health Center,Kituo cha Afya,Public,LGA,Operating
Mbeya,Busokelo,121441-0,KITEMA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Mbeya,Busokelo,121440-2,NGELEKA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Mbeya,Busokelo,121439-4,NSANGA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Mbeya,Busokelo,121438-6,NTAPISI,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Mara,Tarime Dc,121437-8,KIBUMAYE,Health Center,Kituo cha Afya,Public,LGA,Operating
Dar Es Salaam,Temeke Mc,121436-0,Ntoke,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Kilimanjaro,Moshi Dc,121435-2,LEGHOMULLO,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Dodoma,Dodoma Cc,121434-5,El Roi,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
